                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1929,                 2.0357,                0.95358,                 0.4799,                0.45868,                 0.4196,                0.29056,                 1.1013,                 1.5139,                0.94025,               0.003332,               0.003332,               0.003332
                      1,                 1.2233,                 1.8169,                0.96794,                0.51318,                0.47345,                0.45416,                 0.3135,                 1.0948,                 1.4587,                0.94472,              0.0065333,              0.0065333,              0.0065333
                      2,                 1.2431,                 1.6553,                0.98131,                0.55511,                 0.4864,                0.46083,                0.31457,                 1.1121,                 1.3934,                 0.9552,              0.0096027,              0.0096027,              0.0096027
                      3,                 1.2297,                 1.5417,                0.98245,                0.58484,                0.53168,                0.52938,                 0.3727,                 1.0653,                 1.2374,                0.94076,               0.009406,               0.009406,               0.009406
                      4,                 1.1809,                 1.4212,                0.96633,                0.61746,                0.54943,                0.56913,                0.40812,                 1.0296,                 1.1535,                0.92803,               0.009406,               0.009406,               0.009406
                      5,                  1.154,                 1.3495,                 0.9565,                 0.6308,                0.57386,                0.59187,                0.42859,                 1.0069,                 1.0859,                0.91757,               0.009208,               0.009208,               0.009208
                      6,                 1.1301,                 1.2928,                0.94704,                0.66067,                0.58035,                0.61018,                0.44633,                0.98518,                 1.0417,                 0.9122,                0.00901,                0.00901,                0.00901
                      7,                 1.1118,                 1.2576,                0.94303,                0.67243,                0.59071,                0.63013,                0.46278,                0.97112,                 1.0094,                0.91019,               0.008812,               0.008812,               0.008812
                      8,                    1.1,                 1.2242,                0.94097,                 0.6442,                 0.6183,                0.64431,                0.47582,                0.95872,                0.97794,                0.90726,               0.008614,               0.008614,               0.008614
                      9,                 1.0876,                 1.1908,                0.93597,                0.67798,                0.61341,                0.65185,                 0.4834,                0.95105,                0.95866,                 0.9034,               0.008416,               0.008416,               0.008416
                     10,                 1.0799,                 1.1719,                0.93357,                0.65681,                0.64006,                0.66538,                0.49575,                0.94226,                0.93344,                 0.8996,               0.008218,               0.008218,               0.008218
                     11,                 1.0731,                 1.1623,                 0.9309,                0.65915,                0.63399,                0.67204,                0.50338,                0.93527,                0.91696,                0.89768,                0.00802,                0.00802,                0.00802
                     12,                 1.0652,                 1.1361,                0.92835,                0.65182,                0.64226,                0.67569,                0.50682,                0.92909,                0.90475,                0.89537,               0.007822,               0.007822,               0.007822
                     13,                 1.0603,                 1.1281,                0.92721,                 0.6718,                0.64335,                0.68268,                0.51298,                0.92366,                0.89525,                0.89476,               0.007624,               0.007624,               0.007624
                     14,                 1.0541,                 1.1148,                0.92448,                0.67799,                0.65646,                0.68735,                0.51815,                0.91824,                0.88504,                 0.8933,               0.007426,               0.007426,               0.007426
                     15,                 1.0477,                 1.1002,                0.92395,                0.70033,                0.65319,                0.69145,                0.52222,                0.91484,                0.87328,                0.89155,               0.007228,               0.007228,               0.007228
                     16,                 1.0416,                 1.0852,                0.92205,                0.66964,                 0.6603,                0.69806,                0.52801,                0.91057,                0.86268,                0.88938,                0.00703,                0.00703,                0.00703
                     17,                 1.0366,                  1.077,                0.92049,                 0.6924,                0.65323,                0.70146,                0.53058,                0.90731,                0.85569,                0.88872,               0.006832,               0.006832,               0.006832
                     18,                 1.0325,                 1.0609,                0.91828,                0.68337,                0.65573,                0.70559,                 0.5343,                0.90381,                0.84793,                0.88772,               0.006634,               0.006634,               0.006634
                     19,                 1.0282,                 1.0573,                0.91765,                0.67866,                0.66253,                0.70927,                0.53785,                0.90252,                0.84216,                0.88745,               0.006436,               0.006436,               0.006436
                     20,                 1.0254,                 1.0483,                0.91754,                0.67048,                0.66882,                0.71164,                0.54016,                0.90017,                0.83739,                0.88677,               0.006238,               0.006238,               0.006238
                     21,                 1.0212,                 1.0393,                0.91623,                0.69021,                0.67104,                0.71465,                0.54298,                0.89833,                0.83233,                0.88625,                0.00604,                0.00604,                0.00604
                     22,                 1.0148,                 1.0289,                0.91362,                0.69322,                0.67062,                0.71654,                0.54482,                0.89712,                0.82904,                0.88593,               0.005842,               0.005842,               0.005842
                     23,                 1.0094,                  1.017,                0.91207,                0.70091,                0.67208,                0.71828,                0.54677,                0.89572,                0.82611,                0.88543,               0.005644,               0.005644,               0.005644
                     24,                 1.0039,                 1.0021,                0.90937,                0.70773,                0.66868,                0.71982,                0.54814,                0.89457,                0.82327,                0.88507,               0.005446,               0.005446,               0.005446
                     25,                 1.0034,                0.99959,                0.91045,                0.70632,                0.67135,                 0.7207,                0.54889,                0.89336,                0.82085,                0.88458,               0.005248,               0.005248,               0.005248
                     26,                0.99654,                0.99236,                0.90851,                0.70491,                 0.6749,                 0.7217,                 0.5501,                0.89238,                 0.8187,                0.88414,                0.00505,                0.00505,                0.00505
                     27,                 0.9954,                0.98173,                0.90684,                 0.7065,                0.67533,                0.72223,                0.55108,                0.89117,                0.81652,                 0.8837,               0.004852,               0.004852,               0.004852
                     28,                0.99436,                0.97586,                0.90661,                0.70407,                0.67863,                0.72321,                0.55196,                0.89021,                0.81425,                0.88333,               0.004654,               0.004654,               0.004654
                     29,                0.98719,                0.96363,                 0.9056,                0.70506,                0.67811,                0.72445,                0.55302,                0.88911,                0.81247,                0.88301,               0.004456,               0.004456,               0.004456
                     30,                0.98237,                0.95329,                 0.9047,                0.70619,                0.67865,                0.72598,                0.55407,                0.88845,                0.81028,                0.88277,               0.004258,               0.004258,               0.004258
                     31,                0.98093,                0.95162,                0.90261,                0.70687,                0.68328,                0.72689,                0.55502,                0.88765,                 0.8083,                0.88253,                0.00406,                0.00406,                0.00406
                     32,                0.97608,                0.94318,                0.90208,                 0.7105,                0.68397,                0.72795,                  0.556,                0.88699,                0.80654,                0.88227,               0.003862,               0.003862,               0.003862
                     33,                0.97074,                0.93044,                0.90057,                0.71287,                0.68661,                0.72905,                0.55715,                0.88621,                0.80483,                0.88198,               0.003664,               0.003664,               0.003664
                     34,                0.97041,                0.92181,                0.90062,                0.71316,                0.68751,                0.73016,                0.55814,                0.88522,                0.80275,                0.88165,               0.003466,               0.003466,               0.003466
                     35,                0.96495,                0.91422,                0.89924,                0.71505,                0.68768,                0.73093,                0.55891,                 0.8845,                0.80073,                0.88136,               0.003268,               0.003268,               0.003268
                     36,                0.96231,                0.90707,                0.89865,                0.71755,                0.68428,                0.73159,                0.55946,                0.88365,                0.79885,                 0.8811,                0.00307,                0.00307,                0.00307
                     37,                0.95942,                0.90244,                0.89781,                0.71527,                0.68653,                0.73238,                0.56011,                0.88312,                 0.7969,                0.88089,               0.002872,               0.002872,               0.002872
                     38,                0.95453,                0.89031,                0.89563,                0.71743,                0.68583,                0.73312,                0.56104,                0.88233,                0.79505,                0.88058,               0.002674,               0.002674,               0.002674
                     39,                0.94981,                 0.8861,                0.89651,                0.71177,                0.68786,                0.73397,                0.56195,                0.88144,                0.79315,                0.88037,               0.002476,               0.002476,               0.002476
                     40,                0.91803,                 0.8299,                0.88919,                0.70986,                0.69081,                0.73474,                0.56307,                0.88049,                0.79122,                 0.8801,               0.002278,               0.002278,               0.002278
                     41,                0.91075,                0.81646,                0.88768,                0.71087,                0.69013,                0.73554,                0.56397,                0.87958,                0.78921,                 0.8797,                0.00208,                0.00208,                0.00208
                     42,                0.90316,                0.80053,                0.88578,                0.71146,                0.69023,                0.73655,                0.56477,                0.87875,                0.78695,                0.87939,               0.001882,               0.001882,               0.001882
                     43,                0.89926,                0.78736,                0.88524,                0.70938,                0.69004,                0.73743,                 0.5658,                0.87796,                0.78474,                0.87911,               0.001684,               0.001684,               0.001684
                     44,                0.89232,                0.77349,                0.88176,                0.71165,                0.68967,                0.73822,                0.56667,                0.87707,                0.78285,                0.87879,               0.001486,               0.001486,               0.001486
                     45,                 0.8876,                0.76438,                0.87986,                0.71556,                0.69001,                0.73943,                0.56779,                0.87607,                0.78082,                0.87843,               0.001288,               0.001288,               0.001288
                     46,                0.88133,                0.75087,                0.87884,                0.71357,                0.69328,                 0.7402,                0.56887,                0.87537,                0.77912,                0.87813,                0.00109,                0.00109,                0.00109
                     47,                0.87598,                0.73497,                0.87824,                0.71244,                0.69409,                0.74086,                0.56968,                0.87455,                0.77751,                0.87782,               0.000892,               0.000892,               0.000892
                     48,                0.86931,                0.72613,                0.87513,                0.70719,                0.69999,                0.74134,                0.57015,                0.87371,                0.77587,                0.87751,               0.000694,               0.000694,               0.000694
                     49,                 0.8672,                0.71493,                0.87561,                0.70893,                0.69962,                0.74198,                0.57051,                0.87307,                0.77431,                0.87722,               0.000496,               0.000496,               0.000496
