                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1652,                 2.2313,                0.98482,                0.53243,                0.50144,                0.48247,                0.34496,                0.99137,                 1.2931,                 0.9254,               0.003332,               0.003332,               0.003332
                      1,                 1.1032,                 1.3646,                0.94574,                0.60394,                0.51612,                0.53806,                 0.3866,                0.99999,                 1.1983,                0.92006,              0.0065333,              0.0065333,              0.0065333
                      2,                 1.1417,                  1.378,                 0.9579,                0.59204,                0.50794,                0.51861,                0.36649,                 1.0348,                 1.2314,                0.94033,              0.0096027,              0.0096027,              0.0096027
                      3,                 1.1435,                 1.3628,                0.96274,                 0.6431,                0.56896,                0.58201,                0.41849,                0.99379,                 1.1158,                0.92813,               0.009406,               0.009406,               0.009406
                      4,                  1.098,                 1.2646,                0.94805,                0.66867,                0.59359,                0.62891,                 0.4607,                0.96163,                 1.0381,                0.91193,               0.009406,               0.009406,               0.009406
                      5,                 1.0716,                 1.2021,                0.93753,                0.67853,                0.60386,                0.64058,                0.47521,                0.94252,                 0.9858,                0.90712,               0.009208,               0.009208,               0.009208
                      6,                 1.0487,                 1.1461,                 0.9294,                0.68493,                0.63265,                0.66601,                0.49738,                0.92624,                0.93741,                0.90063,                0.00901,                0.00901,                0.00901
                      7,                 1.0315,                 1.1153,                 0.9255,                0.69891,                0.63346,                0.68156,                0.51202,                 0.9098,                0.90174,                0.89689,               0.008812,               0.008812,               0.008812
                      8,                 1.0179,                 1.0846,                0.92181,                0.69219,                0.65844,                0.69655,                0.52768,                0.90065,                0.87259,                0.89253,               0.008614,               0.008614,               0.008614
                      9,                 1.0059,                 1.0514,                0.91798,                0.71257,                0.65581,                0.70419,                0.53536,                0.88795,                0.85653,                0.88798,               0.008416,               0.008416,               0.008416
                     10,                0.99708,                 1.0288,                0.91482,                0.72225,                0.66141,                0.71274,                0.54397,                0.88479,                0.84176,                0.88839,               0.008218,               0.008218,               0.008218
                     11,                  0.992,                 1.0189,                0.91321,                 0.7248,                0.67474,                0.72285,                0.55259,                0.87483,                0.81881,                0.88423,                0.00802,                0.00802,                0.00802
                     12,                0.98279,                0.99871,                0.90996,                0.72494,                0.68802,                0.73005,                0.55937,                0.86729,                0.80515,                0.88236,               0.007822,               0.007822,               0.007822
                     13,                 0.9768,                0.98305,                0.90839,                0.75113,                0.66784,                0.73394,                0.56461,                0.86318,                 0.7962,                0.88143,               0.007624,               0.007624,               0.007624
                     14,                0.97091,                0.96917,                0.90696,                0.74118,                0.68678,                 0.7401,                0.56956,                0.85754,                0.78591,                0.88023,               0.007426,               0.007426,               0.007426
                     15,                0.96285,                0.95243,                0.90532,                0.72997,                0.69899,                0.74343,                0.57414,                0.85189,                 0.7757,                0.87808,               0.007228,               0.007228,               0.007228
                     16,                 0.9591,                0.94025,                0.90426,                0.71691,                 0.7013,                0.74893,                0.57908,                0.84844,                0.76541,                0.87704,                0.00703,                0.00703,                0.00703
                     17,                0.95255,                0.93065,                0.90159,                0.74082,                0.70387,                  0.752,                 0.5825,                0.84449,                0.75738,                0.87515,               0.006832,               0.006832,               0.006832
                     18,                 0.9483,                0.91501,                0.89991,                0.73481,                0.71024,                0.75615,                0.58661,                0.84157,                0.75115,                0.87454,               0.006634,               0.006634,               0.006634
                     19,                0.94294,                0.90771,                0.89859,                0.72303,                0.70864,                0.75724,                0.58747,                0.84043,                0.74885,                0.87444,               0.006436,               0.006436,               0.006436
                     20,                0.93912,                0.89777,                0.89822,                0.72641,                0.71551,                0.75938,                0.58937,                0.83832,                0.74426,                0.87379,               0.006238,               0.006238,               0.006238
                     21,                0.93273,                0.88827,                0.89657,                0.72273,                0.71757,                0.76158,                0.59185,                0.83548,                0.74026,                0.87306,                0.00604,                0.00604,                0.00604
                     22,                0.92705,                0.87411,                0.89459,                0.71953,                0.72279,                0.76232,                0.59294,                0.83273,                0.73632,                0.87244,               0.005842,               0.005842,               0.005842
                     23,                0.92101,                 0.8634,                0.89254,                0.71837,                0.72391,                0.76392,                0.59505,                0.83108,                 0.7331,                 0.8719,               0.005644,               0.005644,               0.005644
                     24,                0.91583,                0.84814,                0.89099,                0.73091,                0.71776,                0.76546,                0.59675,                0.82961,                0.73022,                0.87146,               0.005446,               0.005446,               0.005446
                     25,                0.91422,                0.84204,                0.89141,                 0.7272,                0.72287,                0.76662,                0.59768,                 0.8281,                0.72782,                0.87106,               0.005248,               0.005248,               0.005248
                     26,                0.90697,                0.83186,                0.88989,                 0.7318,                0.72163,                0.76734,                0.59882,                0.82701,                0.72559,                0.87069,                0.00505,                0.00505,                0.00505
                     27,                0.90349,                0.81927,                0.88798,                0.73778,                0.71944,                0.76854,                0.60014,                0.82606,                0.72373,                0.87045,               0.004852,               0.004852,               0.004852
                     28,                0.90186,                0.81549,                0.88721,                0.74721,                0.71445,                0.76913,                0.60075,                0.82482,                0.72214,                0.87013,               0.004654,               0.004654,               0.004654
                     29,                 0.8941,                0.80069,                0.88637,                0.74965,                0.71533,                0.76995,                0.60169,                0.82401,                0.72079,                0.86991,               0.004456,               0.004456,               0.004456
                     30,                 0.8891,                0.78841,                0.88568,                0.75816,                0.71299,                0.77076,                0.60247,                0.82313,                0.71913,                0.86974,               0.004258,               0.004258,               0.004258
                     31,                0.88535,                0.78443,                 0.8829,                0.75524,                0.71457,                0.77117,                0.60327,                 0.8222,                 0.7174,                0.86953,                0.00406,                0.00406,                0.00406
                     32,                0.88085,                0.77176,                0.88256,                0.75069,                 0.7161,                0.77201,                0.60447,                0.82127,                0.71571,                0.86924,               0.003862,               0.003862,               0.003862
                     33,                0.87429,                0.75931,                 0.8815,                0.75926,                 0.7138,                0.77278,                 0.6053,                0.82061,                0.71395,                0.86909,               0.003664,               0.003664,               0.003664
                     34,                0.87158,                0.75171,                 0.8806,                0.75917,                0.71207,                0.77363,                0.60624,                0.81985,                0.71222,                 0.8689,               0.003466,               0.003466,               0.003466
                     35,                0.86661,                0.73986,                 0.8795,                0.75179,                0.71633,                0.77427,                0.60681,                0.81896,                0.71046,                0.86865,               0.003268,               0.003268,               0.003268
                     36,                0.86459,                0.72932,                0.87901,                0.75176,                 0.7168,                0.77477,                0.60766,                0.81821,                0.70873,                0.86838,                0.00307,                0.00307,                0.00307
                     37,                0.85711,                0.72559,                0.87731,                0.75718,                0.71768,                0.77562,                0.60839,                0.81737,                0.70697,                0.86818,               0.002872,               0.002872,               0.002872
                     38,                0.85219,                 0.7106,                0.87561,                0.75229,                0.71877,                0.77619,                0.60931,                0.81646,                0.70542,                 0.8679,               0.002674,               0.002674,               0.002674
                     39,                0.84866,                0.70173,                0.87586,                0.75273,                0.72104,                0.77691,                 0.6102,                0.81556,                0.70385,                0.86772,               0.002476,               0.002476,               0.002476
                     40,                0.82218,                0.65446,                0.86892,                0.75176,                0.72516,                0.77762,                  0.611,                0.81469,                0.70252,                0.86752,               0.002278,               0.002278,               0.002278
                     41,                0.81556,                0.63868,                0.86854,                0.75396,                0.72612,                0.77829,                0.61194,                0.81404,                0.70114,                 0.8674,                0.00208,                0.00208,                0.00208
                     42,                0.80736,                0.62118,                0.86678,                0.74832,                0.72991,                0.77908,                 0.6128,                0.81319,                0.69984,                0.86721,               0.001882,               0.001882,               0.001882
                     43,                0.80169,                0.60558,                0.86502,                0.74691,                0.72977,                0.77991,                0.61366,                0.81229,                0.69833,                0.86699,               0.001684,               0.001684,               0.001684
                     44,                0.79455,                0.58944,                0.86202,                0.73683,                0.74091,                0.78048,                0.61456,                 0.8114,                  0.697,                0.86673,               0.001486,               0.001486,               0.001486
                     45,                0.78782,                0.57863,                0.86013,                0.73883,                0.74108,                0.78103,                0.61524,                0.81061,                0.69547,                0.86657,               0.001288,               0.001288,               0.001288
                     46,                0.78064,                0.56732,                0.85962,                0.74126,                0.74042,                0.78157,                0.61566,                0.80984,                0.69451,                0.86642,                0.00109,                0.00109,                0.00109
                     47,                0.77606,                0.55095,                0.85794,                0.74628,                0.73806,                 0.7823,                0.61648,                0.80919,                0.69353,                0.86627,               0.000892,               0.000892,               0.000892
                     48,                0.76788,                 0.5377,                0.85552,                  0.755,                0.73133,                0.78265,                0.61672,                0.80843,                0.69262,                0.86608,               0.000694,               0.000694,               0.000694
